LocationID,StateAbbr,StateDesc,LocationName,TotalPopulation,Geolocation,States,Counties
51097,VA,Virginia,King and Queen,6942,POINT (-76.9055814 37.7177719),40.0,915.0
51610,VA,Virginia,Falls Church,14631,POINT (-77.1756027 38.884722),40.0,930.0
51081,VA,Virginia,Greensville,11280,POINT (-77.5602774 36.6803363),40.0,914.0
51185,VA,Virginia,Tazewell,40529,POINT (-81.5629237 37.1253949),40.0,2899.0
51071,VA,Virginia,Giles,16663,POINT (-80.698321 37.3180719),40.0,2775.0
51840,VA,Virginia,Winchester,27700,POINT (-78.1763562 39.1738688),40.0,2952.0
51141,VA,Virginia,Patrick,17493,POINT (-80.286413 36.6671385),40.0,2846.0
51199,VA,Virginia,York,69199,POINT (-76.395533 37.2209139),40.0,2903.0
51029,VA,Virginia,Buckingham,17168,POINT (-78.5291687 37.573928),40.0,2758.0
51041,VA,Virginia,Chesterfield,358245,POINT (-77.5858474 37.3784338),40.0,2764.0
51061,VA,Virginia,Fauquier,71361,POINT (-77.8215005 38.7440956),40.0,2771.0
51153,VA,Virginia,Prince William,475533,POINT (-77.4795791 38.7011187),40.0,2850.0
51660,VA,Virginia,Harrisonburg,53204,POINT (-78.8733028 38.4362547),40.0,932.0
51550,VA,Virginia,Chesapeake,247011,POINT (-76.3017884 36.6793761),40.0,2907.0
51181,VA,Virginia,Surry,6385,POINT (-76.8801717 37.1197611),40.0,923.0
51169,VA,Virginia,Scott,21629,POINT (-82.6136238 36.7127756),40.0,922.0
51730,VA,Virginia,Petersburg,30446,POINT (-77.3923681 37.2047302),40.0,2944.0
51003,VA,Virginia,Albemarle,110652,POINT (-78.5535056 38.0241841),40.0,906.0
51790,VA,Virginia,Staunton,25190,POINT (-79.0618761 38.1579778),40.0,2949.0
51021,VA,Virginia,Bland,6239,POINT (-81.1258532 37.1306124),40.0,2755.0
51678,VA,Virginia,Lexington,7279,POINT (-79.4443196 37.7823316),40.0,2939.0
51770,VA,Virginia,Roanoke City,99058,POINT (-79.9581739 37.278458),40.0,937.0
51690,VA,Virginia,Martinsville,12355,POINT (-79.8636475 36.6835269),40.0,934.0
51750,VA,Virginia,Radford,18255,POINT (-80.5591473 37.1201194),40.0,2946.0
51195,VA,Virginia,Wise,37206,POINT (-82.6215601 36.9745607),40.0,2902.0
51720,VA,Virginia,Norton,3985,POINT (-82.625996 36.9315489),40.0,935.0
51019,VA,Virginia,Bedford,79811,POINT (-79.5272234 37.3122568),40.0,2754.0
51570,VA,Virginia,Colonial Heights,17205,POINT (-77.3968043 37.2616846),40.0,928.0
51810,VA,Virginia,Virginia Beach,451231,POINT (-76.0291418 36.7795254),40.0,2951.0
51127,VA,Virginia,New Kent,23648,POINT (-76.9993305 37.5101601),40.0,918.0
51820,VA,Virginia,Waynesboro,22741,POINT (-78.9014197 38.0671571),40.0,938.0
51113,VA,Virginia,Madison,13312,POINT (-78.2769614 38.4120586),40.0,2817.0
51171,VA,Virginia,Shenandoah,43905,POINT (-78.5739867 38.856204),40.0,2873.0
